onset,duration,trial_type
0,8,FIX
8,21,NLL
29,2,FIX
31,21,SRT
52,2,FIX
54,21,PRT
75,2,FIX
77,21,SRF
98,2,FIX
100,21,NRL
121,2,FIX
123,21,PLL
144,2,FIX
146,21,SLF
167,2,FIX
169,21,NRF
190,2,FIX
192,21,SLL
213,2,FIX
215,8,FIX
223,21,SRL
244,2,FIX
246,21,PRL
267,2,FIX
269,21,NRT
290,2,FIX
292,21,PRF
313,2,FIX
315,21,NLF
336,2,FIX
338,21,PLF
359,2,FIX
361,21,SLT
382,2,FIX
384,21,NLT
405,2,FIX
407,21,PLT
428,8,FIX
