onset,duration,trial_type
0,8,FIX
8,21,NRT
29,2,FIX
31,21,PLL
52,2,FIX
54,21,NLT
75,2,FIX
77,21,NRF
98,2,FIX
100,21,PRT
121,2,FIX
123,21,SLL
144,2,FIX
146,21,PLF
167,2,FIX
169,21,SLF
190,2,FIX
192,21,PRL
213,2,FIX
215,8,FIX
223,21,NLL
244,2,FIX
246,21,SRF
267,2,FIX
269,21,SRL
290,2,FIX
292,21,PRF
313,2,FIX
315,21,NLF
336,2,FIX
338,21,SRT
359,2,FIX
361,21,NRL
382,2,FIX
384,21,SLT
405,2,FIX
407,21,PLT
428,8,FIX
