onset,duration,trial_type
0,8,FIX
8,21,SRT
29,4,FIX
33,21,PLT
54,4,FIX
58,21,NRT
79,4,FIX
83,21,SRF
104,4,FIX
108,21,SRL
129,4,FIX
133,21,SLT
154,4,FIX
158,21,NLF
179,4,FIX
183,21,NLL
204,4,FIX
208,21,PLL
229,4,FIX
233,8,FIX
241,21,PRT
262,4,FIX
266,21,NRL
287,4,FIX
291,21,SLL
312,4,FIX
316,21,NRF
337,4,FIX
341,21,PLF
362,4,FIX
366,21,NLT
387,4,FIX
391,21,PRL
412,4,FIX
416,21,SLF
437,4,FIX
441,21,PRF
462,8,FIX
