onset,duration,trial_type
0,8,FIX
8,21,NRF
29,4,FIX
33,21,PRF
54,4,FIX
58,21,NLL
79,4,FIX
83,21,SLT
104,4,FIX
108,21,NLT
129,4,FIX
133,21,NRL
154,4,FIX
158,21,SRT
179,4,FIX
183,21,SRF
204,4,FIX
208,21,PLF
229,4,FIX
233,8,FIX
241,21,PLT
262,4,FIX
266,21,NRT
287,4,FIX
291,21,SRL
312,4,FIX
316,21,SLL
337,4,FIX
341,21,SLF
362,4,FIX
366,21,NLF
387,4,FIX
391,21,PRL
412,4,FIX
416,21,PLL
437,4,FIX
441,21,PRT
462,8,FIX
